web-scraper-order,web-scraper-start-url,logos,logos-href,nameV,capacity
"1584816534-208","https://www.automobiledimension.com/","LAND ROVER","https://www.automobiledimension.com/land-rover-car-dimensions.html","Range Rover Velar","New Land Rover Defender 90 2020L x W x H: 4323 x 1996 x 1974 mm
Boot capacity: 297 dm3"
"1584816652-312","https://www.automobiledimension.com/","FIAT","https://www.automobiledimension.com/fiat-car-dimensions.html","Fiat Doblò Maxi XL","Fiat 500L x W x H: 3571 x 1627 x 1488 mm
Boot capacity: 185 dm3"
"1584816494-202","https://www.automobiledimension.com/","LEXUS","https://www.automobiledimension.com/lexus-car-dimensions.html","Lexus LS","Lexus CTL x W x H: 4355 x 1765 x 1455 mm
Boot capacity: 375 dm3"
"1584816652-298","https://www.automobiledimension.com/","FIAT","https://www.automobiledimension.com/fiat-car-dimensions.html","Fiat Panda","Fiat 500L x W x H: 3571 x 1627 x 1488 mm
Boot capacity: 185 dm3"
"1584816351-154","https://www.automobiledimension.com/","OPEL","https://www.automobiledimension.com/opel-car-dimensions.html","Opel Zafira","Opel Karl / VivaL x W x H: 3675 x 1604 x 1476 mm
Boot capacity: 215 dm3"
"1584816310-14","https://www.automobiledimension.com/","VOLKSWAGEN","https://www.automobiledimension.com/volkswagen-car-dimensions.html","Volkswagen T-Cross","New Volkswagen up! 2020L x W x H: 3600 x 1645 x 1504 mm
Boot capacity: 251 dm3"
"1584816661-332","https://www.automobiledimension.com/","DACIA","https://www.automobiledimension.com/dacia-car-dimensions.html","Dacia Lodgy","Dacia SanderoL x W x H: 4058 x 1733 x 1518 mm
Boot capacity: 320 dm3"
"1584816338-102","https://www.automobiledimension.com/","RENAULT","https://www.automobiledimension.com/renault-car-dimensions.html","New Renault Zoe 2020","Renault TwizyL x W x H: 2337 x 1234 x 1454 mm
Boot capacity: 31 dm3"
"1584816652-300","https://www.automobiledimension.com/","FIAT","https://www.automobiledimension.com/fiat-car-dimensions.html","Fiat 124 Spider","Fiat 500L x W x H: 3571 x 1627 x 1488 mm
Boot capacity: 185 dm3"
"1584816534-206","https://www.automobiledimension.com/","LAND ROVER","https://www.automobiledimension.com/land-rover-car-dimensions.html","Land Rover Discovery","New Land Rover Defender 90 2020L x W x H: 4323 x 1996 x 1974 mm
Boot capacity: 297 dm3"
"1584816347-129","https://www.automobiledimension.com/","PEUGEOT","https://www.automobiledimension.com/peugeot-car-dimensions.html","Peugeot iOn","Peugeot iOnL x W x H: 3475 x 1475 x 1608 mm
Boot capacity: 166 dm3"
"1584816353-160","https://www.automobiledimension.com/","NISSAN","https://www.automobiledimension.com/nissan-car-dimensions.html","Nissan Micra","Nissan MicraL x W x H: 3995 x 1743 x 1452 mm
Boot capacity: 300 dm3"
"1584816330-87","https://www.automobiledimension.com/","ŠKODA","https://www.automobiledimension.com/skoda-car-dimensions.html","Škoda Superb","New Škoda Citigo iV 2020L x W x H: 3597 x 1645 x 1481 mm
Boot capacity: 251 dm3"
"1584816353-166","https://www.automobiledimension.com/","NISSAN","https://www.automobiledimension.com/nissan-car-dimensions.html","Nissan 370Z","Nissan MicraL x W x H: 3995 x 1743 x 1452 mm
Boot capacity: 300 dm3"
"1584816569-213","https://www.automobiledimension.com/","LAMBORGHINI","https://www.automobiledimension.com/lamborghini-car-dimensions.html","Lamborghini Aventador S Coupé","New Lamborghini Huracán EVO 2019L x W x H: 4520 x 1933 x 1165 mm
Boot capacity: 100 dm3"
